0.012 0.771737 0.0001 0.0002
0.022 0.482525 0.0001 0.0002
0.032 0.323315 0.0001 0.0002
0.042 0.230153 0.0001 0.0002
0.052 0.171541 0.0001 0.0002
0.062 0.132583 0.0001 0.0002
0.072 0.105742 0.0001 0.0002
0.082 0.086293 0.0001 0.0002
0.092 0.0714791 0.0001 0.0002
0.102 0.0602089 0.0001 0.0002
0.112 0.0516303 0.0001 0.0002
0.122 0.0449937 0.0001 0.0002
0.132 0.0390698 0.0001 0.0002
0.142 0.0344963 0.0001 0.0002
0.152 0.0306862 0.0001 0.0002
0.162 0.0271561 0.0001 0.0002
0.172 0.0243703 0.0001 0.0002
0.182 0.0217913 0.0001 0.0002
0.192 0.0200847 0.0001 0.0002
0.202 0.0186668 0.0001 0.0002
0.212 0.0163139 0.0001 0.0002
0.222 0.0150793 0.0001 0.0002
0.232 0.0139079 0.0001 0.0002
0.242 0.013128 0.0001 0.0002
0.252 0.0122563 0.0001 0.0002
0.262 0.0114506 0.0001 0.0002
0.272 0.0103051 0.0001 0.0002
0.282 0.00988958 0.0001 0.0002
0.292 0.00933511 0.0001 0.0002
0.302 0.00852165 0.0001 0.0002
